30/03/2018 08:15:16 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:16 a.m.||INFO|***    CONTROL MERMAS    ***
30/03/2018 08:15:16 a.m.||INFO|Puerto:ARROYO
30/03/2018 08:15:16 a.m.||INFO|Fecha :2018-03-29
30/03/2018 08:15:16 a.m.||INFO|Transporte: CAMIONES        
30/03/2018 08:15:16 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:17 a.m.||INFO|DTCONTABLE | IDCAMION   | CTAPORTE     | PRODUCTO | MERMA KG | MERMA KG CALC. | VISTEO CABECERA | VISTEO DETALLE                              | SOLUCION
30/03/2018 08:15:17 a.m.||INFO|           |            |              |          |          |                |                 | RUBRO                | EN TABLA | CALCULADO |
30/03/2018 08:15:17 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000004 | 000568330853 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000007 | 000567874507 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000018 | 000568144464 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000034 | 000567855860 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000038 | 000568096545 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000057 | 000568431694 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000063 | 000568296462 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000065 | 000567874834 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000072 | 000568373497 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000074 | 000568167562 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000078 | 000567296700 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000098 | 000567867938 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000105 | 000568109759 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000106 | 000568274680 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000107 | 000567523092 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000113 | 000567317432 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000117 | 000568430031 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000144 | 000567292063 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000145 | 000567292128 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000159 | 000567867941 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000162 | 000568370538 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000209 | 000567246806 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000213 | 000567681716 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000247 | 000568419180 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000262 | 000568055860 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000263 | 000567867942 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000264 | 000568021406 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000272 | 000568434615 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000274 | 000568246640 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
