30/03/2018 08:15:16 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:16 a.m.||INFO|***    CONTROL MERMAS    ***
30/03/2018 08:15:16 a.m.||INFO|Puerto:PIEDRABUENA
30/03/2018 08:15:16 a.m.||INFO|Fecha :2018-03-29
30/03/2018 08:15:16 a.m.||INFO|Transporte: CAMIONES        
30/03/2018 08:15:16 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:17 a.m.||INFO|DTCONTABLE | IDCAMION   | CTAPORTE     | PRODUCTO | MERMA KG | MERMA KG CALC. | VISTEO CABECERA | VISTEO DETALLE                              | SOLUCION
30/03/2018 08:15:17 a.m.||INFO|           |            |              |          |          |                |                 | RUBRO                | EN TABLA | CALCULADO |
30/03/2018 08:15:17 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:18 a.m.||INFO|29/03/2018 | 0000000048 | 000567524641 |       19 |      563 |            563 |           1.98% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:18 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:18 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |    1.98% |     1.98% | OK!
30/03/2018 08:15:18 a.m.||INFO|29/03/2018 | 0000000100 | 000568317353 |       23 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:18 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:18 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000102 | 000568214598 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000105 | 000568061741 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000109 | 000567786756 |       19 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000111 | 000568437924 |       17 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
